id,drzava
5491994,UK
0185906,USA
0185906,UK
0795176,UK
0944947,USA
0944947,UK
0903747,USA
0306414,USA
2395695,USA
2861424,USA
0081846,USA
0081846,UK
0141842,USA
1475582,UK
1475582,USA
0071075,UK
1533395,UK
1533395,USA
1533395,Greece
1533395,Italy
1533395,Germany
0098769,USA
0417299,USA
0303461,USA
1806234,UK
3530232,USA
0092337,Poland
0092337,West Germany
0052520,USA
2356777,USA
0475784,USA
1355642,Japan
2802850,USA
0296310,UK
2092588,UK
2092588,USA
2092588,Spain
2092588,Germany
2092588,Greece
2092588,Canada
0103359,USA
4508902,Japan
0877057,Japan
0213338,Japan
1856010,USA
0112130,UK
0063929,UK
0367279,USA
0081834,West Germany
0081834,UK
0081834,France
4742876,India
4574334,USA
3718778,USA
5712554,USA
1518542,India
0098904,USA
2707408,USA
0098936,USA
2085059,UK
0108778,USA
0074006,UK
0081912,UK
0193676,USA
0096548,UK
1865718,USA
0384766,UK
0384766,USA
0072500,UK
4786824,UK
4786824,USA
0118421,USA
0096697,USA
5189670,USA
0090509,UK
4299972,USA
0121955,USA
0214341,Japan
0214341,USA
0214341,Canada
5555260,USA
0120570,USA
1486217,USA
0412142,USA
0472954,USA
1628033,UK
2560140,Japan
0386676,USA
2098220,Japan
5288312,Norway
1910272,Japan
0248654,USA
0353049,USA
5425186,USA
2442560,UK
0086661,UK
0121220,Japan
0200276,USA
0403778,UK
0348914,USA
0096639,USA
0417349,UK
3322312,USA
0773262,USA
2297757,USA
3032476,USA
0407362,USA
0459159,UK
0088484,UK
0106179,Canada
0286486,USA
0264235,USA
0115147,USA
0436992,UK
0436992,Canada
0203082,Japan
0380136,UK
0318871,Japan
0092324,UK
0094517,USA
0994314,Japan
1513168,USA
0086831,UK
2401256,USA
0187664,UK
0118273,UK
1586680,USA
1606375,UK
0421357,Japan
0314979,USA
4158110,USA
1641384,USA
0092455,USA
0080306,UK
1492966,USA
0995832,USA
0995832,UK
0388629,Japan
0804503,USA
1266020,USA
2100976,USA
1305826,USA
0423731,Japan
0758745,USA
0053488,USA
0472027,USA
0111958,UK
0434706,Japan
0863046,USA
3671754,Turkey
1227926,USA
0098825,UK
0275137,USA
1489428,USA
1733785,Sweden
1733785,Denmark
1733785,Germany
2049116,Italy
2049116,Germany
0112159,Japan
1831164,Turkey
0979432,USA
0047708,USA
0088509,Japan
4189022,USA
0237123,UK
0290978,UK
0280249,Japan
0106028,USA
1870479,USA
0458254,USA
0387764,UK
4288182,USA
1758429,USA
0182629,Japan
0080297,UK
0163507,USA
0163507,UK
0061287,UK
0118266,USA
2306299,Ireland
2306299,Canada
0094525,UK
0417373,USA
1474684,UK
0487831,UK
1632701,USA
1695360,USA
0096657,UK
0262150,UK
0346314,Japan
0129690,UK
2243973,USA
0149460,USA
1442449,USA
0075520,Italy
0075520,UK
1795096,Turkey
1124373,USA
2575988,USA
2788432,USA
2937900,USA
4156586,India
0397150,UK
2311418,Turkey
2433738,Australia
1439629,USA
0319969,USA
0083466,USA
1442437,USA
0103584,USA
0103584,Canada
0362192,UK
0070644,Sweden
2701582,UK
0098833,UK
0387199,USA
0103466,USA
1883092,Germany
3428912,UK
2384811,UK
0074028,USA
0074028,UK
0807832,Japan
1520211,USA
0056751,UK
0075572,USA
0185133,Japan
0112084,USA
0988824,Japan
0337898,Russia
1526318,Denmark
0094535,UK
0108906,Denmark
0108906,Italy
0108906,Germany
0108906,France
0108906,Norway
0108906,Sweden
0108906,Netherlands
0495212,Japan
1598754,USA
2407574,UK
0163503,UK
0934320,Australia
0290988,Canada
0442632,UK
0442632,USA
1299368,USA
0460681,USA
1220617,UK
1119644,USA
1119644,Canada
0043208,USA
0278238,USA
3398228,USA
3655448,Italy
3655448,France
3655448,Spain
3655448,UK
3655448,USA
2578560,USA
0402711,USA
0411008,USA
0455275,USA
0068098,USA
0445114,UK
0445114,USA
4592410,USA
0060028,USA
0118480,USA
0118480,Canada
0925266,USA
0088727,Canada
0088727,West Germany
0088727,USA
3012698,USA
0285403,USA
1409055,Japan
1334722,USA
1334722,Japan
0184135,UK
0101049,UK
0285331,USA
2017109,USA
0251439,Japan
1796960,USA
2249364,UK
0780362,UK
0780362,USA
0054533,USA
1839578,USA
0310455,UK
6005644,India
2126154,UK
